Week Beginning,Week Ending,Total Transient/Homeless related incidents,Average calls per day,1st most common call,2nd most common call,3rd most common call,4th most common call,meta_row_index,meta_row_id
2016/07/28,2016/08/10,268,19,Welfare Check,Suspicious Circumstance,Trespass,Assist Other Agency,0,f6dbf8a8f82654943ccc81120bfa192ad86b48f8
2016/08/11,2016/08/24,275,20,Welfare Check,Suspicious Circumstance,Trespass,Assist Other Agency,1,7519a0e21f6b00676abe91f69d576d8513d7ebb4
2016/08/25,2016/09/07,242,17,Welfare Check,Trespass,Suspicious Circumstance,Disturbance,2,ba5aca6bef7d9775123b46b37a1c640bb65a9ad7
2016/09/08,2016/09/21,191,14,Welfare Check,Trespass,Suspicious Circumstance,Disturbance,3,a4ae30b3de0d0a2d24d56a493e9d27bcd579042a
2016/09/22,2016/10/05,183,13,Welfare Check,Trespass,Suspicious Circumstance,Assist Other Agency,4,b4ac14701b61427928bbecaee110925c8a2548b4
2016/10/06,2016/10/19,145,10,Welfare Check,Trespass,Disturbance,Suspicious Circumstance,5,81adc27dc7e94c8b101e4cefd4b3aa7885007226
2016/10/20,2016/11/02,159,11,Welfare Check,Suspicious Circumstance,Trespass,Disturbance,6,b16bbda120dfb30626ec10af55f9db01742b1344
2016/11/03,2016/11/16,160,11,Welfare Check,Disturbance,Theft,Trespass,7,8128e15d4c98c754003719dbf6dc4347ca6405d0
2016/11/17,2016/11/30,150,11,Welfare Check,Suspicious Circumstance,Trespass,Harassment,8,3e89517442da89190a5f4f046da64176e43f2f97
2016/12/01,2016/12/14,100,7,Welfare Check,Trespass,Suspicious Circumstance,Assist Other Agency,9,ae2b2017545e3f1f8e643acec70bbe908a051180
2016/12/15,2016/12/28,92,7,Welfare Check,Trespass,Disturbance,Assist Other Agency,10,447bd721ab3dfe98222b79ae45745c829d2d5e00
2016/12/29,2017/01/11,74,5,Welfare Check,Trespass,Assist Other Agency,Harassment,11,3a23fbf88e881a240b472d5a7d60e8eab68afa6a
2017/01/12,2017/01/25,82,6,Welfare Check,Trespass,Suspicious Circumstance,N/A,12,f2714d9a0628f791eb910605a00ea8254648c72f
2017/01/26,2017/02/08,72,5,Disturbance,Trespass,Welfare Check,N/A,13,8c9a17e11bee122c9fd25bbd1ebd2c419fcf602b
