Month,Rescue Mission Total Served - Men,Rescue Mission Total Served - Women,Rescue Mission # of Nights with Turnaways - Men,Rescue Mission # of Nights with Turnaways - Women,Rescue Mission - Total # Turned Away,Catholic Charities Total Served - Men,Catholic Charities Total Served - Women,Catholic Charities Total Served - Families,Catholic Charities # of Nights with Turnaways,Catholic Charities - Total # Turned Away,meta_row_index,meta_row_id
06/01/2017 12:00:00 AM,1548,558,11,2,41,1608,588,134,25,127,0,d43fbe965d7aa17e8793776e1e03fe0a2322aa16
07/01/2017 12:00:00 AM,1616,531,4,0,10,1582,615,142,15,56,1,96d848fcfcbc3ff4369c88930f3170eba9f42e3c
08/01/2017 12:00:00 AM,1616,604,10,6,37,1665,625,148,23,105,2,0b30694d4ddef78c5b875cfef877192d50eace65
09/01/2017 12:00:00 AM,1650,696,5,4,21,1402,475,129,19,64,3,5507ebba2a6ae65b49b7961a1783995991dbff32
10/01/2017 12:00:00 AM,2045,849,13,5,55,1291,487,96,7,26,4,34350a8bd8a13ec601b7db4be332b005a476cb35
11/01/2017 12:00:00 AM,2167,729,5,1,15,1739,602,118,2,6,5,b97ecd23b4f9104a828de0f182d1482dfa9bcb3e
12/01/2017 12:00:00 AM,2036,679,1,1,3,1495,459,97,0,0,6,e240081c74804747628e24b5daf63eb2f347ff43
01/01/2018 12:00:00 AM,2248,740,4,1,14,1777,509,135,1,3,7,51b373b29d18e5ac42dd5eb201fdb81db731e1dd
02/18/2018 12:00:00 AM,2023,539,3,0,13,1642,402,113,3,9,8,4baada9fbe8c1f2871964a4a47ef5a10b9c903b9
03/18/2018 12:00:00 AM,1909,648,1,0,1,1676,592,137,5,5,9,91175271a8e11d4af519974ebda6355bc7de495d
04/18/2018 12:00:00 AM,2078,779,7,2,21,1851,643,131,4,17,10,c403856328779f2c372e3ca869aa825e6399149f
05/18/2018 12:00:00 AM,1752,677,9,1,28,1409,621,119,17,95,11,55550ac4d9a0fa6b9e3c5c996c62ccab13014f14
06/18/2018 12:00:00 AM,1542,599,6,0,8,1366,599,101,9,37,12,c328e13ec8fb1f532626089fce5d7d186ffb16fe
07/18/2018 12:00:00 AM,1769,690,17,1,52,1244,482,121,10,43,13,5ff0b98ef8020b4718b50a9adb9ddb41bb0a81a1
08/18/2018 12:00:00 AM,1619,621,12,3,36,1329,544,127,23,122,14,9c3a7988367984de60faec94aea23b9a3ebe40a5
09/18/2018 12:00:00 AM,1561,653,2,1,6,1209,406,120,13,32,15,fc2d9846e5a77a6e914bda43400da55efc5e9903
10/18/2018 12:00:00 AM,1843,750,4,1,13,1492,518,139,12,71,16,2f19480bf3ebf2e7585a69e39b365052b327983c
11/18/2018 12:00:00 AM,2043,780,10,5,32,1817,586,193,1,1,17,7604a2db4b485cd45390ea032a72e85b40b9c685
12/18/2018 12:00:00 AM,2320,852,3,5,19,1887,648,201,2,6,18,55ca257982aae8def58673e993bd15cdb0dd79c9
01/01/2019 12:00:00 AM,2351,888,9,14,58,2311,758,191,9,45,19,8345bdd83a169316abd2c2d447b8e5eb3d3886a1
02/19/2019 12:00:00 AM,1970,711,10,2,28,2119,653,134,2,4,20,0e1b1db4720020e5a0f30d8822909f3023a3f2e8
03/19/2019 12:00:00 AM,2225,769,2,1,9,1444,560,44,0,0,21,bb5e2e73a0d40301b5cba4f75912c385b2de6b1c
