Type,YEAR,UniqueID,Fate,COX_TIME,annual_prec_30year,CORE_AREA,Shrub_10M,ARTR_10M,Shrub_H_10M,ARTR_H_10M,VO,AnGrass_10M,PerGrass_10M,ResGrass_10M,FoodF_10M,NFoodF_10M,Bground_10M,Cactus_10M,BioCrust_10M,Rock_10M,Litter_10M,PerGrass_H_10M,ResGrass_H_10M,Shrub_5m,Artr_5m,Shrub_1m,Artr_1m,AnGrass_1M,PerGrass_1M,ResGrass_ 1M,FoodF_1M,NFoodF_1M,BGround_1M,Cactus_1M,BioCrust_1M,Rock_1M,Litter_1M,AnGrass_3M,PerGrass_3M,ResGrass_3M,FoodF_3M,NFoodF_3M,Bground_3M,Cactus_3M,BioCrust_3M,Rock_3M,Litter_3M,Gap_0.5M,Gap_1M,Gap_2M,Gap_3M,
Nest,2008,1,fail,22,349.1199951,YES,38.89004,19.55292,47.32258065,41.73333333,45,1.672222222,26.88333333,7.383333333,2.75,4.172222222,12.21666667,0,0.4,1.2,38.88333333,28.88888889,15.77777778,49.10328,28.25496,68.8848,53.2638,0,34.25,11.85,1.33,0,10.25,0,0.11,0.83,26.85,3.7625,17.675,1.8,4.525,9.3875,14.675,0,0.7625,1.6625,53.925,6,2,1,0,
Nest,2008,2,hatch,28,349.1199951,YES,30.76712,0,53.5,0,6.38,0,23.71666667,6.772222222,2.688888889,3.683333333,23.99444444,0,8.194444444,16.76666667,48.66111111,38.22222222,21.33333333,39.22776,0,54.7878,0,0,28.55,7.85,4.23,6.02,29.05,0,4.23,16.54,52.55,0,17.675,5.425,0.7625,0.7625,17.675,0,13.15,17.05,43.8,6,1,1,0,
Nest,2008,3,fail,24,349.1199951,YES,60.4394,60.4394,36.55,36.55,40,0.4,12.70555556,5.033333333,15.20555556,5.016666667,25.65,4.172222222,0.677777778,4.294444444,53.1,64.28571429,15.66666667,65.8496,65.8496,67.818,67.818,0.72,18.64,7.84,24.25,6.02,31.04,7.51,0.61,7.73,40.54,0,5.2875,1.525,3.9,3.7625,18.9125,0,0.7625,0,68.8,5,1,1,0,
Nest,2008,4,hatch,28,386.4299927,YES,34.3332792,16.9709592,34,26.2,35,6.95,17.15555556,6.427777778,5.355555556,0.677777778,7.916666667,0,0.83125,14.98125,61.49444444,35.11111111,26.66666667,45.1344784,27.2972784,43.586396,14.293596,0,14.14,0.94,6.63,0.61,10.63,0,0.7625,19.675,67.55,15.6375,20.925,13.2875,3.7625,0.7625,4.525,0,0.9,10.2875,53.925,6,1,1,0,
Nest,2008,5,fail,18,267.5400085,YES,60.96,60.96,51.78571429,51.78571429,65.5,0,10.60555556,7.105555556,14.97777778,3.405555556,17.98333333,0,3.344444444,19.52777778,42.60555556,28.44444444,17.22222222,70.8788,70.8788,60.96,60.96,0,14.75,11.85,1.22,3.12,18.64,0,3.01,20.13,48.05,0,5.425,1.175,32.175,3.7625,17.1625,0,3.7625,18.775,35.8,5,1,0,0,
Nest,2008,6,hatch,20,289.5499878,YES,26.62428,26.62428,29.4,29.4,7.5,1.672222222,18.21111111,9.988888889,4.083333333,6.244444444,22.70555556,0,6.183333333,4.816666667,33.21666667,30,18,37.91072,37.91072,53.7972,53.7972,3.01,21.04,14.14,6.63,0.72,25.13,0,11.13,7.84,35.65,0,14.675,4.8,0.9,13.15,19.675,0,0,1.0375,30.175,6,2,0,0,
Nest,2008,7,hatch,26,267.5400085,YES,53.01752,53.01752,56.875,56.875,64.25,5.016666667,26.20555556,10.03888889,10.75555556,2.072222222,10.1,0,9.083333333,10.63333333,49.60555556,39.77777778,27.66666667,57.54624,57.54624,31.4706,31.4706,9.03,16.13,8.73,4.34,3.01,14.45,0,8.84,3.62,70.65,0,38.8,11.675,18.775,0.9,4.6625,0,9.3875,19.4,23.3,6,5,1,0,
Nest,2008,8,fail,15,297.3299866,YES,68.87992,27.26192,46.03125,59.09090909,48.75,4.633333333,25.43888889,6.772222222,2.072222222,2.011111111,17.21666667,1.672222222,5.188888889,5.588888889,47.60555556,44,28.125,78.52928,32.85744,60.5028,47.3202,8.23,24.25,7.35,3.01,0.61,7.35,3.01,8.73,8.23,47.55,0.1375,26.925,6.05,0.9,3.7625,29.55,0,0.7625,2.2875,47.675,3,1,0,0,
Nest,2008,9,hatch,8,318.2200012,YES,61.71956,46.96724,63.96153846,75.375,67.75,8.405555556,18.15,9.483333333,7.35,12.13888889,22.93888889,0.338888889,2.011111111,12.81666667,41.55,47.375,21.125,62.9348,56.96712,69.7992,64.4652,15.13,6.63,1.33,0.72,3.73,34.05,0.61,3.62,4.34,34.25,0,32.55,19.675,15.6375,22.65,9.05,0,0,23.4125,50.675,3,1,0,0,
Nest,2008,10,hatch,18,267.5400085,YES,54.2062,54.2062,28.7037037,28.7037037,47.75,11.46111111,8.194444444,3.027777778,4.083333333,0.338888889,34.6,11.4,10.06666667,12.91666667,52.38333333,31.42857143,19.33333333,61.924,61.924,74.676,74.676,20.02,0.61,0.61,7.35,0.61,55.65,17.51,18.12,23.03,24.25,0.7625,17.675,6.05,0,0,8.2875,3.7625,0,0.275,87.55,5,2,0,0,
Nest,2008,11,hatch,28,251.9499969,YES,44.1454,44.1454,29.36170213,29.36170213,41.25,3.344444444,5.588888889,10.18888889,4.633333333,1.672222222,28.76666667,0,7.288888889,21.47777778,32.16111111,26.33333333,14.28571429,43.75648,43.75648,45.8724,45.8724,6.02,8.73,18.12,0.11,0,28.14,0,0.61,10.63,29.25,0,1.6625,0.275,10.2875,3.7625,29.55,0,15.6375,35.0375,35.8,4,0,0,0,
Nest,2008,12,fail,18,251.9499969,YES,40.35552,40.35552,34.33333333,34.33333333,25.13,1.672222222,19.93333333,8.933333333,3.366666667,6.183333333,37.6,0.338888889,6.244444444,12.42777778,39.05,28.125,20.75,36.16848,36.16848,47.625,47.625,3.01,7.24,4.34,1.83,3.01,32.64,0.61,10.63,11.13,39.25,0,35.8,14.675,5.2875,10.15,43.8,0,0.7625,14.05,38.8,9,3,1,0,
Nest,2008,13,fail,12,260,YES,59.436,59.436,41.42105263,41.42105263,55,10.74444444,9.527777778,8.805555556,3.683333333,0.677777778,21.13888889,0.338888889,4.633333333,8.594444444,55.93888889,34,41.5,68.4596,68.4596,71.628,71.628,18.73,3.62,7.62,3.62,1.22,27.53,0,7.73,4.84,55.65,0.7625,16.9125,10.2875,3.7625,0,13.15,0.7625,0.7625,13.2875,56.3,5,3,0,0,
Nest,2008,14,hatch,20,296.6400146,YES,40.99316,5.36448,26.91666667,85,21.25,0,14.37777778,8.705555556,0.738888889,2.011111111,28.05,0,4.85,6.305555556,40.10555556,28.875,18.25,49.51232,10.72896,52.959,26.8224,0,11.74,1.94,0.72,0.61,36.15,0,8.12,10.63,36.65,0,17.675,17.1625,0.7625,3.7625,17.925,0,0.7625,0.9,44.425,7,3,0,0,
Nest,2008,15,hatch,18,284.1199951,NO,33.86084,25.997,39.57142857,44.33333333,37,2.35,10.54444444,8.1,8.594444444,2.011111111,30.99444444,0,2.072222222,8.933333333,31.49444444,26.33333333,21.22222222,42.0624,35.93592,63.7032,63.7032,3.62,10.25,13.75,8.23,3.62,22.15,0,3.73,4.95,38.05,0.7625,10.9125,1.0375,9.05,0,42.05,0,0,13.9125,23.3,8,4,1,0,
Nest,2008,16,fail,11,284.1199951,YES,34.03092,22.12848,30.52380952,42.55555556,20,0,18.55,8.438888889,4.972222222,2.011111111,24.93333333,0,0.338888889,16.03333333,42.37777778,19.55555556,15.33333333,41.0084,28.37688,59.7408,43.3578,0,14.25,6.35,8.12,3.01,14.25,0,0,27.53,42.64,0,23.925,11.05,1.0375,0.7625,38.2875,0,0.7625,1.6625,42.05,7,3,0,0,
Nest,2008,17,hatch,23,284.1199951,YES,26.8986,24.88692,39.26666667,45.72727273,45,0,4.422222222,2.811111111,4.911111111,6.183333333,31.48333333,0,0.061111111,1.138888889,52.10555556,30.5,17.125,29.28488,28.34,46.863,46.863,0,4.23,4.23,1.22,3.62,33.64,0,0.11,1.33,51.15,0,4.6625,1.0375,9.525,9.3875,28.7875,0,0,0.9,53.3,6,5,2,1,
Nest,2008,18,fail,4,284.1199951,YES,41.64848,41.64848,40.56521739,40.56521739,47.5,0.338888889,8.933333333,3.211111111,11.31111111,0.4,28.42777778,0,0.338888889,4.361111111,38.49444444,20.11111111,18.72222222,58.24088,58.24088,56.3118,56.3118,0.61,4.34,3.84,7.24,0.72,28.64,0,0.61,3.62,45.65,0,14.675,2.425,16.4,0,28.1625,0,0,5.2875,29.55,8,3,0,0,
Nest,2008,19,hatch,28,231.5500031,YES,32.61116,31.80344,31.53846154,32.12,35,0,22.82777778,10.32777778,1.077777778,0.338888889,21.70555556,0,1.016666667,5.538888889,55.93888889,30.55555556,18.55555556,46.48352,46.48352,30.5562,30.5562,0,15.05,4.45,1.22,0,25.54,0,1.22,6.24,57.55,0,32.55,17.675,0.9,0.7625,16.9125,0,0.7625,4.6625,53.925,8,2,0,0,
Nest,2008,20,fail,14,231.5500031,YES,26.33472,24.56688,23.64705882,25.92857143,21.25,2.011111111,7.705555556,8.594444444,5.077777778,3.683333333,21.32777778,1.672222222,5.25,21.53888889,42.05,31.375,21.625,27.06624,25.35936,32.4612,31.4706,3.62,4.84,8.84,3.12,0.61,26.65,3.01,7.62,28.14,25.65,0,11.2875,8.2875,7.525,7.525,14.675,0,2.2875,13.2875,62.55,6,4,1,0,
Nest,2008,21,fail,22,231.5500031,YES,36.31692,34.3662,43.76923077,44.64,45,0.061111111,12.48888889,2.594444444,8.872222222,0.338888889,8.744444444,0,0,8.683333333,54.49444444,26.55555556,13.22222222,39.73312,36.38672,39.624,39.624,0,19.25,3.95,7.85,0.61,15.63,0,0,7.51,43.05,0.1375,4.0375,0.9,10.15,0,0.1375,0,0,10.15,68.8,9,2,0,0,
Nest,2008,22,hatch,19,231.5500031,YES,29.22788,28.70972,34,35.23529412,41.25,19.45555556,14.43888889,7.322222222,17.92222222,0.738888889,24.71666667,0,0.4,2.811111111,51.99444444,31,11.66666667,33.26648,33.26648,46.3296,46.3296,17.51,17.15,4.84,11.13,1.22,21.35,0,0.72,4.23,43.55,21.8875,11.05,10.425,26.4125,0.1375,28.925,0,0,1.0375,62.55,5,2,1,0,
Nest,2008,23,fail,22,256.6799927,YES,30.2514,23.40864,39.35714286,50.88888889,50,0.338888889,12.32777778,8.377777778,0.861111111,0.677777778,13.53333333,6.95,2.011111111,16.15555556,54.88333333,31.33333333,14.44444444,45.23232,43.37304,65.0748,65.0748,0.61,5.45,3.84,0.22,0.61,4.34,12.51,0.61,20.85,55.65,0,20.925,14.05,1.6625,0.7625,25.025,0,3.7625,10.2875,53.925,5,2,1,1,
Nest,2008,24,hatch,28,251.75,YES,30.38612,29.91368,24.6,25.63157895,19.25,0,9.988888889,5.161111111,2.35,2.35,18.21111111,0,0.738888889,26.81666667,26.32777778,19.22222222,16.77777778,37.39896,36.45408,51.5874,51.5874,0,11.74,4.45,3.62,1.22,18.64,0,0,32.64,18.75,0,7.8,6.05,0.7625,3.7625,17.675,0,1.6625,19.5375,35.8,7,4,1,0,
Nest,2009,25,hatch,18,296.7999878,YES,50.6,48.45,84.78125,86.51612903,70,0,14.71666667,8.994444444,12.26111111,0.338888889,12.93333333,0.338888889,0,1.477777778,46.16111111,26.77777778,16.5,78.8,74.5,97.25,97.25,0,14.75,11.85,3.73,0,16.65,0.61,0,1.94,48.05,0,14.675,5.425,22.925,0.7625,8.2875,0,0,0.9,43.8,6,3,1,0,
Nest,2009,26,hatch,18,337.019989,NO,47.1,33.3,47.91176471,54,28.75,3.683333333,15.43333333,6.372222222,2.688888889,1.016666667,15.54444444,0,1.416666667,6.583333333,49.21666667,25.42857143,14.42857143,74.7,51.9,90,67.5,3.62,9.75,7.24,4.23,0.61,16.24,0,2.44,10.52,43.05,3.7625,22.5375,5.2875,0.7625,1.525,14.675,0,0.1375,1.6625,56.925,5,1,0,0,
Nest,2009,27,hatch,18,386.4299927,YES,16.75,16.55,50.41666667,54,43.75,0,10.88333333,7.105555556,2.872222222,0,11.32222222,0,0.677777778,10.87777778,30.43888889,19.44444444,9,31.4,31.4,65.25,65.25,0,5.45,8.45,4.23,0,14.25,0,0,18.75,38.55,0,17.675,5.425,1.175,0,7.6625,0,1.525,1.0375,20.3,5,4,3,1,
Nest,2009,28,fail,4,386.4299927,YES,13.85,5.1,49,61.5,32.5,2.011111111,5.538888889,4.205555556,6.983333333,0,13.19444444,0,0,10.12777778,55.05,13,9.777777778,23.9,10.2,39.75,23.5,0.61,9.64,6.74,4.23,0,23.64,0,0,18.23,39.05,3.7625,0.4125,1.0375,10.425,0,0.1375,0,0,0,75.05,7,5,2,0,
Nest,2009,29,fail,4,386.4299927,YES,77.8,7.05,22.46296296,51.25,30,0.338888889,16.93888889,3.272222222,7.027777778,0.738888889,30.21111111,0,6.95,2.75,40.10555556,31.11111111,12.55555556,62.4,10.6,72,26.5,0.61,7.35,1.55,3.01,0.72,43.25,0,12.51,1.33,31.15,0,28.925,5.425,12.05,0.7625,13.9125,0,0,4.525,51.3,3,1,1,0,
Nest,2009,30,hatch,28,386.4299927,YES,64.7,20.05,42.19047619,50.4,52.5,0,2.533333333,0.922222222,3.805555556,3.744444444,21.87777778,0,0.061111111,21.47777778,35.55,6.777777778,3.666666667,58.1,25.3,77.5,43.25,0,1.55,1.05,0.83,3.62,25.85,0,0,13.64,32.75,0,3.7625,0.7625,7.525,3.9,16.9125,0,0.1375,31.275,39.05,5,1,0,0,
Nest,2009,31,fail,12,267.5400085,YES,62.8,39.9,43.84375,61,57.5,0.4,23.21111111,10.1,3.683333333,0.461111111,20.92777778,0,6.183333333,22.30555556,42.60555556,28.44444444,13.33333333,56.9,49.4,72.75,67,0.11,26.15,9.45,6.63,0.61,21.54,0,3.62,20.13,48.05,0.7625,19.5375,10.9125,0,0.275,20.1625,0,9.3875,25.025,35.8,5,3,1,0,
Nest,2009,32,fail,2,267.5400085,YES,34.05,31.25,36.36363636,42.52941176,31.25,4.172222222,14.27222222,10.05,4.022222222,0.061111111,6.811111111,0,0.338888889,10.47777778,62.55,19,14.66666667,33.3,33,41.5,40.75,7.51,9.95,14.25,3.01,0.11,6.13,0,0,10.63,67.55,0,19.675,4.8,5.2875,0,7.6625,0,0.7625,10.2875,56.3,9,4,0,0,
Nest,2009,33,fail,2,251.9499969,YES,71.8,35.4,36.18421053,41.73076923,41.25,0.677777778,11.31111111,3.866666667,4.572222222,1.355555556,25.16111111,0,5.844444444,37.65,20.27222222,29.5,7.833333333,69.5,44.2,83.75,58,1.22,7.24,3.84,0.11,1.22,21.65,0,10.52,37.64,22.35,0,16.4,3.9,10.15,1.525,29.55,0,0,37.6625,17.675,9,1,1,1,
Nest,2009,34,hatch,8,260,YES,63.1,50.8,29.15625,39.25,25,0.738888889,12.08888889,6.811111111,3.683333333,2.072222222,22.32222222,0,1.672222222,37.32777778,18.82777778,29.66666667,21.42857143,68.3,53.7,71.25,69.75,0.11,13.64,6.24,6.63,0,14.14,0,3.01,34.05,29.05,1.525,10.15,7.525,0,4.6625,32.55,0,0,41.425,6.05,8,3,1,1,
Nest,2009,35,hatch,4,296.6400146,YES,33.5,8.75,23.76923077,24.6,32.5,6.95,17.02777778,2.472222222,2.072222222,0.061111111,17.21111111,0,0,6.244444444,42.32777778,9.888888889,5.611111111,49.6,15.1,76.75,26.5,12.51,23.03,3.73,3.62,0,8.34,0,0,3.73,36.15,0,9.525,0.9,0.1375,0.1375,28.3,0,0,9.3875,50.05,5,3,0,0,
Nest,2009,36,hatch,17,284.1199951,YES,39.35,18.55,31.09677419,37.63636364,41.25,4.172222222,11.03333333,1.477777778,5.755555556,0,31.10555556,0,0,10.47777778,27.77222222,6.777777778,5.888888889,37.6,25.8,48.75,39.25,7.51,16.74,1.44,7.35,0,7.85,0,0,8.34,38.25,0,3.9,1.525,3.7625,0,60.175,0,0,13.15,14.675,11,5,0,0,
Nest,2009,37,hatch,11,284.1199951,YES,40.6,37.35,33.75862069,36.16,26.25,0.338888889,0.338888889,0.461111111,4.483333333,1.672222222,42.71666667,0,0,17.30555556,27.16111111,1.555555556,1.888888889,51.7,45.6,45.5,45.5,0.61,0.61,0.22,3.84,3.01,33.75,0,0,15.52,41.65,0,0,0.7625,5.2875,0,53.925,0,0,19.5375,9.05,5,1,1,0,
Nest,2009,38,fail,3,284.1199951,NO,22.65,20.45,43.73333333,53,10,0.338888889,10.26666667,3.488888889,7.75,0.4,20.48333333,0,0.338888889,3.088888889,54.88333333,13,7.888888889,24.1,23.1,35.5,35.5,0,7.85,2.55,0.22,0.11,18.75,0,0.61,4.84,45.65,0.7625,13.2875,4.6625,17.1625,0.7625,22.65,0,0,0.9,66.425,8,4,1,0,
Nest,2009,39,hatch,4,284.1199951,YES,48.35,45.35,32,35.64285714,15,0,14.43888889,7.827777778,3.866666667,1.794444444,22.87222222,0,2.011111111,9.927777778,44.32777778,20.11111111,13.44444444,60.3,59.8,46.25,46,0,16.35,6.85,3.84,3.12,23.14,0,0.61,11.24,51.15,0,12.05,9.05,3.9,0.1375,22.5375,0,3.7625,8.2875,35.8,6,4,2,0,
Nest,2009,40,hatch,4,283.230011,YES,54.5,46.65,49.03125,52.51851852,43.75,0,17.66111111,6.216666667,2.811111111,0,18.21111111,0,0,0.738888889,40.93333333,15.55555556,9.111111111,42.3,36.6,49,49,0,22.15,9.75,3.73,0,29.05,0,0,0.72,28.14,0,12.05,1.8,1.6625,0,4.6625,0,0,0.7625,56.925,7,4,0,0,
Nest,2009,41,fail,23,311.4500122,YES,56.4,52.35,27.19047619,35.07692308,23.75,0.061111111,9.377777778,4.822222222,3.344444444,2.35,25.76111111,0,0.677777778,25.48333333,42.60555556,24.66666667,21.61111111,63.4,61.7,83.5,83.5,0.11,10.25,7.35,6.02,1.22,26.24,0,0.61,25.24,43.55,0,8.2875,1.6625,0,3.7625,25.1625,0,0.7625,25.7875,41.425,8,5,2,1,
Nest,2009,42,hatch,23,331.2999878,YES,41.15,38.1,46.52631579,51.46666667,26.25,5.844444444,11.09444444,2.533333333,0.522222222,2.072222222,25.92777778,0,0.338888889,19.15,36.10555556,24.75,12.375,40.1,35.6,47.25,47.25,10.52,15.63,3.73,0.72,0.61,30.54,0,0,13.84,45.65,0,5.425,1.0375,0.275,3.9,20.1625,0,0.7625,25.7875,24.175,11,3,0,0,
Nest,2009,43,fail,9,311.4500122,YES,45.05,38.75,35.25,40.64705882,21.25,0,11.6,7.766666667,3.744444444,0.4,30.43888889,0,3.744444444,19.59444444,26.54444444,23.125,18.375,53,46,63.75,61.75,0,14.14,6.74,3.62,0.11,19.25,0,0.61,28.03,28.64,0,8.425,9.05,3.9,0.7625,44.425,0,7.6625,9.05,23.925,5,3,0,0,
Nest,2009,44,hatch,16,260.7799988,YES,33.65,11.2,22.45454545,35,25,0,5.438888889,7.272222222,6.366666667,0.338888889,22.43333333,0,0.677777778,6.244444444,36.54444444,11.55555556,8.777777778,30.6,8.8,43,22,0,4.95,3.95,0.83,0,33.14,0,0.61,10.63,25.74,0,6.05,11.425,13.2875,0.7625,9.05,0,0.7625,0.7625,50.05,8,2,0,0,
